player_id,role_name
7948,Right Midfield
19526,Left Winger
27085,Left Winger
27205,Left Midfield
28980,Left Back
30483,Center Forward
36559,Right Defensive Midfield
38703,Center Forward
42335,Left Winger
43196,Right Wing Back
44186,Center Back
89658,Attacking Midfield
127615,Left Wing Back
333032,Right Center Back
333595,Goalkeeper
333614,Right Defensive Midfield
333615,Center Forward
333616,Goalkeeper
333619,Left Center Back
333625,Right Back
333730,Center Forward
333921,Center Forward
334202,Left Center Back
441826,Attacking Midfield
630816,Left Defensive Midfield
643529,Right Wing Back
710448,Right Center Back
721152,Left Midfield
814501,Right Winger
857688,Left Wing Back
1002264,Right Back
18337,Attacking Midfield
19227,Right Winger
29287,Right Midfield
36483,Left Wing Back
36550,Right Center Back
38973,Goalkeeper
39052,Center Forward
43209,Left Forward
50961,Right Winger
59297,Right Center Back
61098,Left Midfield
85811,Goalkeeper
165695,Right Midfield
189206,Center Forward
332894,Left Back
333671,Right Midfield
333676,Left Center Back
333914,Left Winger
334313,Right Wing Back
458509,Left Winger
606791,Right Midfield
813580,Right Wing Back
815857,Left Center Back
886603,Center Back
1002373,Center Forward
1002427,Right Center Back
27132,Center Forward
34213,Attacking Midfield
34555,Right Defensive Midfield
36536,Right Winger
36600,Goalkeeper
48638,Goalkeeper
49698,Center Back
58762,Center Forward
66919,Right Winger
70203,Left Midfield
124344,Left Winger
127614,Left Back
332761,Right Back
333567,Left Wing Back
333585,Center Forward
333604,Right Back
333702,Left Midfield
333975,Right Center Back
333981,Right Center Back
334095,Right Center Back
334562,Center Forward
334664,Left Winger
360077,Right Center Back
606780,Left Midfield
606792,Left Back
737608,Center Forward
750234,Right Winger
812205,Attacking Midfield
813294,Right Wing Back
818707,Right Midfield
826489,Right Back
851352,Right Back
31164,Left Forward
31170,Center Forward
31178,Right Back
36471,Left Back
36472,Attacking Midfield
43202,Left Center Back
43211,Right Back
63232,Right Center Back
63242,Center Back
67113,Center Forward
161628,Center Forward
286727,Goalkeeper
332758,Attacking Midfield
332909,Left Winger
333560,Left Midfield
333594,Left Back
333603,Left Defensive Midfield
333606,Right Winger
333627,Right Center Back
333630,Right Defensive Midfield
333632,Goalkeeper
333636,Left Defensive Midfield
333745,Right Back
333888,Right Midfield
333908,Left Winger
333909,Left Back
333913,Left Center Back
333920,Defensive Midfield
606777,Right Forward
620391,Center Forward
620393,Right Winger
813279,Right Winger
11241,Center Forward
18704,Left Midfield
19583,Right Wing Back
36588,Left Center Back
36610,Right Midfield
36613,Left Wing Back
36621,Left Winger
38017,Left Winger
43216,Left Winger
48744,Center Back
117897,Left Midfield
332829,Left Center Back
332830,Right Back
332831,Left Midfield
332844,Left Midfield
332848,Right Forward
332855,Left Center Back
333748,Right Winger
333903,Goalkeeper
333941,Center Forward
334239,Left Back
334791,Right Center Back
337183,Center Forward
337525,Left Wing Back
592209,Right Center Back
795535,Left Midfield
813270,Right Center Back
815376,Right Winger
817390,Center Forward
827695,Goalkeeper
832504,Left Center Back
23400,Left Center Back
23875,Right Center Back
26667,Right Center Back
31166,Goalkeeper
34537,Center Forward
36444,Left Back
43220,Left Winger
43600,Left Defensive Midfield
104562,Center Forward
176458,Attacking Midfield
285230,Right Center Back
332866,Right Winger
332955,Goalkeeper
333674,Right Winger
333741,Left Winger
333897,Right Back
333976,Right Midfield
334330,Right Back
334668,Left Center Back
334669,Left Back
348351,Right Midfield
348931,Left Midfield
404211,Right Winger
609572,Center Forward
813908,Right Defensive Midfield
817419,Right Back
839428,Center Forward
966409,Left Winger
1002430,Center Forward
1002433,Right Midfield
13962,Goalkeeper
18321,Left Midfield
27201,Right Back
34518,Right Center Back
36507,Center Back
43213,Center Forward
43292,Center Forward
57238,Left Wing Back
67246,Right Center Back
149304,Left Wing Back
153171,Goalkeeper
153358,Left Forward
333561,Center Forward
333600,Right Center Back
333733,Center Forward
333740,Right Midfield
333772,Attacking Midfield
333910,Left Defensive Midfield
333911,Left Center Back
334317,Left Defensive Midfield
334329,Right Defensive Midfield
334365,Left Back
559447,Right Winger
600930,Left Center Back
622841,Right Wing Back
627154,Right Back
628872,Right Wing Back
629607,Left Winger
814496,Left Winger
1002931,Left Midfield
1002932,Left Wing Back
24769,Left Midfield
27107,Right Midfield
27171,Right Winger
27172,Center Forward
30601,Goalkeeper
46762,Right Midfield
67202,Center Forward
69855,Right Forward
123131,Center Forward
332769,Left Center Back
332785,Left Wing Back
332824,Left Back
333575,Center Back
333593,Center Back
333601,Center Forward
333607,Right Midfield
333788,Left Center Back
333931,Goalkeeper
334016,Center Forward
334103,Left Wing Back
334238,Left Winger
334273,Left Winger
606784,Right Center Back
606787,Right Winger
630140,Right Back
813578,Right Wing Back
813579,Left Midfield
818229,Center Forward
1002355,Right Wing Back
1002438,Right Center Back
1002440,Center Forward
24750,Goalkeeper
25447,Left Defensive Midfield
26265,Right Defensive Midfield
26312,Attacking Midfield
28526,Right Winger
34560,Left Center Back
43192,Goalkeeper
43200,Center Forward
47134,Left Back
57406,Attacking Midfield
67132,Center Forward
333562,Left Midfield
333591,Center Forward
333626,Right Midfield
333628,Center Forward
333787,Left Center Back
333873,Attacking Midfield
333912,Right Back
333932,Center Back
334256,Right Midfield
460773,Right Back
469493,Right Center Back
813274,Left Winger
813275,Right Center Back
819144,Right Back
966421,Right Wing Back
1002275,Left Winger
1002277,Center Forward
1002278,Left Back
1002934,Left Winger
1002935,Left Winger
36619,Left Defensive Midfield
163193,Left Center Back
176488,Right Winger
621204,Right Defensive Midfield
813395,Right Wing Back
31244,Left Back
36540,Left Back
622836,Right Center Back
813269,Left Defensive Midfield
840763,Right Midfield
32855,Right Midfield
333700,Right Midfield
25475,Right Forward
27129,Left Center Back
27348,Left Midfield
34513,Left Wing Back
34554,Center Forward
47133,Right Wing Back
57923,Center Forward
78115,Goalkeeper
126073,Right Wing Back
160558,Right Midfield
224209,Right Wing Back
333215,Right Midfield
333701,Left Forward
333708,Right Center Back
333712,Right Midfield
333836,Right Midfield
333839,Right Center Back
333840,Goalkeeper
333877,Center Back
334112,Center Forward
334323,Center Forward
334863,Right Midfield
606805,Left Back
814670,Right Forward
815539,Left Center Back
836103,Left Center Back
974905,Left Midfield
1002435,Right Winger
43242,Left Back
47130,Goalkeeper
59793,Left Midfield
123130,Left Center Back
124339,Right Defensive Midfield
189245,Right Center Back
333576,Right Winger
333749,Left Center Back
334009,Right Winger
334761,Center Forward
360069,Attacking Midfield
623111,Left Winger
798138,Right Winger
811836,Left Back
815894,Right Winger
817615,Right Center Back
18032,Right Wing Back
31338,Center Forward
67230,Left Center Back
795536,Right Center Back
891524,Left Midfield
18493,Left Wing Back
45052,Center Forward
68832,Goalkeeper
88447,Right Back
333734,Right Midfield
333736,Left Winger
333742,Left Wing Back
627153,Right Center Back
627175,Center Back
629586,Left Midfield
686277,Right Center Back
818230,Right Winger
974667,Right Winger
1002354,Left Forward
1002437,Right Wing Back
1002441,Center Forward
51054,Center Forward
404209,Right Midfield
966476,Left Winger
1002431,Right Winger
67179,Right Midfield
67225,Left Center Back
332856,Right Winger
18067,Center Forward
334102,Right Center Back
34539,Left Midfield
59374,Left Wing Back
64754,Center Forward
333597,Goalkeeper
333679,Center Forward
333691,Center Forward
333725,Attacking Midfield
333737,Right Center Back
333774,Center Forward
333776,Right Center Back
333783,Right Wing Back
333875,Right Center Back
333956,Center Back
334760,Right Wing Back
458618,Left Midfield
616896,Center Forward
816836,Left Winger
819116,Right Midfield
1003636,Right Wing Back
189194,Left Center Back
606783,Right Back
629236,Left Winger
814338,Right Center Back
61313,Right Winger
641104,Left Winger
23846,Center Forward
334105,Right Center Back
606810,Left Back
810204,Center Forward
27185,Left Winger
31138,Left Midfield
31151,Right Wing Back
333564,Center Back
333631,Left Midfield
333682,Left Center Back
334121,Left Winger
334564,Goalkeeper
360075,Right Midfield
775323,Right Winger
813399,Center Forward
816485,Right Midfield
971810,Center Forward
1002274,Left Center Back
27197,Defensive Midfield
333592,Right Midfield
815872,Goalkeeper
966404,Right Winger
162450,Left Midfield
333217,Left Wing Back
334077,Goalkeeper
43193,Right Winger
166419,Left Winger
826290,Right Winger
333890,Goalkeeper
630810,Right Winger
333563,Left Winger
334333,Left Defensive Midfield
612269,Center Forward
18072,Left Midfield
334539,Left Center Back
404210,Goalkeeper
814592,Left Midfield
8594,Right Winger
36492,Defensive Midfield
285469,Left Wing Back
332822,Center Forward
333918,Center Forward
334116,Right Center Back
189200,Goalkeeper
333558,Right Center Back
1003669,Right Back
1003670,Right Winger
71568,Left Back
301533,Center Forward
975244,Left Defensive Midfield
975266,Left Winger
625256,Right Defensive Midfield
686270,Left Midfield
1003933,Right Back
332767,Left Winger
333905,Right Winger
334335,Center Forward
333849,Right Center Back
334090,Left Forward
1002361,Center Back
628580,Attacking Midfield
686466,Right Back
1002933,Right Defensive Midfield
1004254,Left Winger
43020,Right Midfield
43228,Right Back
339961,Center Forward
531856,Right Winger
43222,Left Center Back
60036,Right Center Back
129286,Right Back
333889,Right Center Back
153824,Center Back
333677,Right Wing Back
863525,Center Forward
24927,Right Midfield
1004653,Defensive Midfield
162856,Left Center Back
334795,Left Back
458557,Defensive Midfield
36589,Right Back
168191,Attacking Midfield
333723,Right Back
11436,Left Wing Back
20253,Center Forward
